灾难,讨厌,取消,糟糕,慢,悲伤,坏
便宜,熟练,喜欢,快,高兴,多,好

-0.1751936951936951,害,13
-0.15500227663492971,麻烦,30
-0.13904881755380094,破,26
-0.13062873634302208,不佳,1
-0.13062873634302208,不划算,3
-0.12451973147625311,恶劣,23
-0.10795299938157082,劣质,2
-0.10795299938157082,差劲,61
-0.10795299938157082,糠,2
-0.09290867862296437,赖,2
-0.09266043363158072,毁,5
-0.09038939713816557,事故,2
-0.09038939713816557,长短,1
-0.09031920872204113,艰辛,1
-0.08882112692449956,岔,1
-0.08854980383888866,破坏,1
-0.08357082194291493,收拾,4
-0.08154488416899741,斗,1
-0.08071332819942384,折腾,3
-0.08069268299758314,整,5
-0.08028907600336166,不善,1
-0.07986394557823129,事情,14
-0.0765798733286418,差错,1
-0.07557975398265776,打,228
-0.07155178155178155,伤,1
-0.07152694924123498,打死,11
-0.07135531135531137,事,23
-0.07129644674127805,报销,4
-0.06863058510117342,结果,286
-0.06258951932421325,侮辱,2
-0.06258951932421325,欺负,4
-0.06258951932421325,祸害,1
-0.06234099234099233,混乱,4
-0.0622412349555207,焯,1
-0.06021026592455159,糟,8
-0.059876051151913245,最差,33
-0.058735587674514755,雪,3
-0.05803262336443116,鱼肉,1
-0.05771315192743759,问题,93
-0.05683465420307532,弄,47
-0.05649222384135216,处理,21
-0.05649222384135216,解决,24
-0.0558126635269493,倒胃口,2
-0.0558126635269493,欺人太甚,1
-0.0558126635269493,污损,1
-0.055270525162169404,调戏,1
-0.054802364539206616,令人,5
-0.05446221654933092,搞,31
-0.05430675267884566,脱,1
-0.05426420599383075,删除,3

0.14172705808936353,要,374
0.14575367676208012,认,2
0.14626496392437882,歉,1
0.14635921854409245,行,127
0.14649490294651574,恐怖,1
0.1472672425613602,脾气,13
0.14751787983593923,厚,32
0.14782275072597645,恐惧,1
0.14782275072597645,愤怒,4
0.14867139714001992,意思,31
0.14968303814788747,敬业精神,1
0.1523476523476524,抖,2
0.15385614385614388,满,31
0.1540387569419827,信任,4
0.15795918367346934,超过,23
0.15915195915195918,爽,3
0.15921531921531917,重,12
0.1592740592740592,不愧,4
0.1592740592740592,不要脸,1
0.1592740592740592,好意思,18
0.1592740592740592,放心,9
0.1592740592740592,无耻,4
0.1592740592740592,欣慰,1
0.1592740592740592,理直气壮,4
0.16022809123649467,宁愿,3
0.16022809123649467,情愿,1
0.16177567530508713,定,195
0.16397999217733555,信心,3
0.1648662448662448,爽快,1
0.16955895955895955,哈,8
0.1697626622228955,醋,47
0.170124385418503,歉意,10
0.17044543267478302,不快,3
0.17212790356771462,委屈,1
0.17755495022575762,热心,1
0.1781585081585081,助人为乐,1
0.18429237429237433,爱,29
0.18668721959044537,不满,16
0.18725550826391163,想,147
0.1901745107317862,口味,178
0.1901745107317862,气味,1
0.1901745107317862,胃口,17
0.191076766370884,挚爱,1
0.19847887744439469,美,3
0.20150240440563016,安慰,2
0.20821962351374118,感情,3
0.2093106893106892,舒服,14
0.23620598797069386,乐,1
0.24362780077065793,开心,16
0.2545121545121544,快乐,6
0.29404069049230336,愉快,14
