-6.056447759191686,没法
-5.79341335335789,字
-5.793293013445331,差劲
-5.4978371299191595,要死
-5.471364918557969,再也不会
-5.471364918557969,整整
-5.471364918557969,越来越
-5.471364918557969,迟到
-5.471364918557968,明明
-5.371829245007054,放
-5.34595437638667,巨
-5.056447759191685,扔掉
-5.056447759191684,到处
-5.056327419279125,上面
-5.056327419279125,昨天
-4.886522757749373,没见
-4.886522757749372,下咽
-4.886402417836813,远
-4.693877679806977,白菜
-4.623368012003019,不吃
-4.586842135977905,没吃过
-4.471485258470529,取餐
-4.471485258470529,说好
-4.471485258470529,貌似
-4.471485258470529,超慢
-4.471485258470528,剩
-4.471485258470528,所有
-4.471364918557969,一句
-4.471364918557969,千万别
-4.2084508526367355,几口
-4.208450852636735,唯一
-4.208450852636735,尼玛
-4.208450852636735,巨慢
-4.208330512724174,不动
-4.208210172811615,早餐
-4.056327419279125,点餐
-4.038405511281862,不要
-3.886522757749373,几块
-3.886522757749373,合谷
-3.886522757749373,奇葩
-3.886522757749373,差距
-3.886522757749373,肉卷
-3.886522757749373,芹菜
-3.886522757749373,除了
-3.8865227577493724,叫
-3.8865227577493724,头
-3.8864024178368126,一块
-3.8864024178368126,不值
-3.8864024178368126,浪费
-3.8864024178368126,番茄酱

2.28376326343062,高大
2.302381610856815,非常
2.3359900034996355,呀
2.4355256770505496,选择
2.4356460169631093,口感
2.4356460169631102,上次
2.4357663568756696,哈哈
2.5974588940129855,速度
2.5990244093334294,饿
2.605450678492862,分量
2.6985600828843435,15
2.6988007627094635,送得
2.724095174991481,会
2.757574111850472,不太
2.8684850843266556,够
2.894957295687847,～
2.9210728441333513,大哥
2.9210728441333518,肉丝
2.954899836144129,很快
3.0207288575968256,好像
3.113717922075747,长
3.1232262833609648,小哥
3.2010604234135265,干净
3.2431212789332737,更好
3.265600675608238,服务
3.283763263430619,感谢
3.3709854248558386,觉得
3.3989998010254356,热
3.4356460169631093,哒
3.4356460169631102,好喝
3.4357663568756696,继续
3.4905670406085116,师傅
3.573149540713045,实惠
3.6885064182204204,比较
3.757574111850472,也好
4.020488177771706,好多
4.090877505663103,一如既往
4.108071358934605,好评
4.113838261988308,还会
4.135965395191642,很大
4.158112041434201,谢谢
4.243000939020714,棒棒
4.435525677050549,哦
4.453688264872932,方便
4.621632902187003,棒
5.246996707580386,送货
5.371105764768398,骑士
5.480040136321563,满意
5.743074542155357,足
5.776682934798177,辛苦
6.885207391576346,赞
